id,title,houseIcon,dealDate,totalPrice,positionIcon,source,unitPrice,dealHouseTxt
20998,永乐东区 1室1厅 41.23平米,南 | 精装 | 无电梯,2016.03.22,153,顶层(共6层) 1988年建板楼,链家成交,37317,3000
20999,模式口西里 1室1厅 43.03平米,南 北 | 简装 | 无电梯,2016.03.22,130,中楼层(共6层) 1987年建板楼,链家成交,30232,3000
21000,重聚园 3室1厅 109.83平米,东 南 | 精装 | 有电梯,2016.03.20,390,中楼层(共24层) 2003年建塔楼,链家成交,35779,3000
21001,远洋山水 1室1厅 57.04平米,西 | 精装 | 有电梯,2016.03.20,280,高楼层(共26层) 2007年建板塔结合,链家成交,49122,3000
21003,双锦园 1室1厅 49.51平米,西 | 精装 | 有电梯,2016.03.20,175,中楼层(共16层) 2000年建板塔结合,链家成交,35714,3000
21004,古城北路 1室1厅 42.5平米,东 | 精装 | 无电梯,2016.03.20,142,高楼层(共6层) 1993年建板楼,链家成交,33809,3000
21005,西现代城 1室0厅 43.29平米,北 | 精装 | 有电梯,2016.03.19,146,中楼层(共22层) 板塔结合,链家成交,33953,3000
21006,永乐东区 1室1厅 46.7平米,南 | 精装 | 无电梯,2016.03.19,169,中楼层(共6层) 1988年建板楼,链家成交,36739,683
21008,模式口北里 2室2厅 102平米,南 北 | 精装 | 无电梯,2016.03.19,275,底层(共3层) 1993年建板楼,链家成交,26960,3000
21010,远洋沁山水 2室1厅 88.37平米,南 | 其他 | 有电梯,2016.03.17,620,低楼层(共18层) 2009年建板楼,链家成交,70454,1082
21011,六场宿舍 2室1厅 56.21平米,南 北 | 简装 | 无电梯,2016.03.16,192,高楼层(共6层) 1987年建板楼,链家成交,34285,950
21012,依翠园 3室1厅 83.39平米,东 西 | 精装 | 无电梯,2016.03.15,249,顶层(共6层) 1995年建板楼,链家成交,30000,1048
21014,七星园 2室1厅 69.89平米,东 西 | 简装 | 无电梯,2016.03.14,260,低楼层(共6层) 1995年建板楼,链家成交,37681,999
21016,六合园 2室1厅 65.32平米,东 西 | 精装 | 无电梯,2016.03.13,208,高楼层(共6层) 1993年建板楼,链家成交,32000,3000
21019,御景山 2室1厅 105.25平米,东 | 精装 | 有电梯,2016.03.13,380,低楼层(共15层) 板塔结合,链家成交,36190,3000
21020,五芳园 2室1厅 61.6平米,南 北 | 精装 | 无电梯,2016.03.12,210,底层(共6层) 1993年建板楼,链家成交,34426,3000
21022,茂华景公阁 2室2厅 111.26平米,南 北 | 精装 | 有电梯,2016.03.12,570,中楼层(共11层) 2007年建板楼,链家成交,51351,3000
21023,诗景长安 2室1厅 68.95平米,南 | 精装 | 有电梯,2016.03.11,300,高楼层(共27层) 2010年建板楼,链家成交,44117,3000
21024,远洋山水 1室1厅 61.77平米,南 | 精装 | 有电梯,2016.03.10,305,低楼层(共26层) 2007年建板塔结合,链家成交,50000,3000
21025,雍景四季 3室2厅 142.43平米,南 北 | 简装 | 有电梯,2016.03.10,530,底层(共25层) 板塔结合,链家成交,37323,3000
21027,远洋山水 1室0厅 57.04平米,西 | 简装 | 有电梯,2016.03.09,258,中楼层(共26层) 2007年建板塔结合,链家成交,45263,3000
21028,永乐西区 2室1厅 61.45平米,南 北 | 精装 | 无电梯,2016.03.08,188,顶层(共6层) 1992年建板楼,链家成交,30819,3000
21029,西引力 2室2厅 85.8平米,东 | 精装 | 有电梯,2016.03.08,330,中楼层(共14层) 板塔结合,链家成交,38823,929
21030,诗景长安 2室1厅 68.62平米,南 北 | 精装 | 有电梯,2016.03.08,297,高楼层(共27层) 2010年建板楼,链家成交,43676,3000
21031,六合园 2室1厅 73.21平米,西南 | 毛坯 | 有电梯,2016.03.07,260,低楼层(共22层) 1995年建塔楼,链家成交,35616,3000
21032,远洋沁山水 2室1厅 89.35平米,南 北 | 简装 | 有电梯,2016.03.07,400,底层(共18层) 2011年建板楼,链家成交,44943,3000
21033,远洋沁山水 2室2厅 107平米,东 西 | 精装 | 有电梯,2016.03.06,620,中楼层(共23层) 2011年建板楼,链家成交,57943,3000
21034,六合园 2室1厅 67.69平米,西 北 | 精装 | 有电梯,2016.03.06,235,高楼层(共18层) 1995年建塔楼,链家成交,35074,3000
21035,远洋山水 2室1厅 107.57平米,西 北 | 精装 | 有电梯,2016.03.06,490,低楼层(共26层) 2006年建板塔结合,链家成交,45794,923
21036,久筑物业 1室1厅 50.05平米,东南 | 简装 | 有电梯,2016.03.06,160,低楼层(共12层) 板塔结合,链家成交,32000,3000
21037,八角北路 2室1厅 54.15平米,南 北 | 精装 | 无电梯,2016.03.06,175,高楼层(共6层) 1984年建板楼,链家成交,32407,3000
21038,地震局宿舍 2室1厅 60.56平米,东 南 西 | 精装 | 无电梯,2016.03.06,240,中楼层(共6层) 1993年建板楼,链家成交,40000,3000
