id,unitPrice,totalPrice,houseSize,dealHouseTxt,elevator,decorate,window,floorHight,lat,lng,room,area,hall
87,101355,598,59,536,1,1,1,1,39.9015,116.432085,1,1,1
88,83333,550,66,3000,0,1,2,2,39.892363,116.443966,2,1,1
89,92307,1080,117,441,1,1,2,2,39.942363,116.443615,2,1,1
90,100000,410,41,3000,0,0,2,1,39.890797,116.439077,1,1,1
91,96875,620,64,3000,0,0,2,4,39.953502,116.433065,2,0,1
92,107228,890,83,3000,1,1,2,2,39.9015,116.432085,2,1,1
93,91071,510,56,3000,0,0,2,1,39.88811,116.442986,2,1,1
94,128387,398,31,447,1,0,1,3,39.9015,116.432085,1,1,0
95,106611,1290,121,3000,0,0,2,4,39.94629,116.418478,3,1,2
96,110714,620,56,549,1,1,1,2,39.9015,116.432085,1,1,1
97,113725,580,51,3000,1,0,2,1,39.95976,116.39706,2,2,1
98,89636,493,55,541,0,0,1,2,39.957368,116.407981,2,1,1
99,107534,785,73,367,0,1,3,3,39.928071,116.437781,2,1,1
100,96153,500,52,830,1,1,1,2,39.90446,116.429322,1,1,1
101,70722,587,83,3000,1,1,1,1,39.86929,116.411728,2,1,1
102,97142,680,70,1064,0,0,1,1,39.969201,116.415078,2,1,1
103,72537,486,67,416,0,1,2,1,39.870683,116.421287,2,1,1
104,99152,585,59,415,1,1,1,3,39.90241,116.428665,1,1,1
105,95000,361,38,88,0,0,1,2,39.966986,116.428124,1,1,1
106,110256,860,78,3000,1,1,1,2,39.90241,116.428665,1,1,1
107,88524,540,61,1078,0,0,2,2,39.895278,116.450121,2,1,1
108,123529,1050,85,3000,0,1,2,1,39.902459,116.439821,2,1,1
109,97297,360,37,3000,0,1,1,4,39.964303,116.417178,1,1,1
110,86705,1500,173,3000,1,1,1,2,39.943127,116.442605,2,1,1
111,77659,365,47,474,1,0,1,2,39.869884,116.41636,1,1,0
113,72950,445,61,554,0,1,2,1,39.870683,116.421287,2,1,1
114,58928,330,56,617,0,0,2,0,39.897946,116.451561,2,1,1
116,92571,1620,175,722,1,1,2,2,39.941475,116.447237,3,1,2
117,110937,710,64,3000,1,1,2,2,39.942593,116.433982,2,1,1
118,103157,980,95,341,0,1,2,1,39.966964,116.422944,3,1,1
119,108490,575,53,825,0,1,2,4,39.896402,116.447863,3,1,1
120,92105,350,38,3000,1,0,2,2,39.951398,116.45023,1,1,1
121,110389,850,77,955,0,1,2,1,39.924556,116.414205,3,1,1
122,104242,1720,165,3000,1,1,2,2,39.894271,116.448681,3,1,2
123,84137,488,58,3000,0,1,2,4,39.970724,116.417886,2,1,1
124,129591,635,49,3000,0,1,1,1,39.92577,116.435975,1,1,1
125,92424,610,66,378,1,0,2,3,39.898724,116.44273,1,1,1
126,114423,595,52,3000,1,0,2,1,39.957905,116.406775,1,1,1
127,86538,450,52,943,0,1,1,4,39.892211,116.433645,1,1,1
128,87272,960,110,208,1,0,2,2,39.900633,116.453003,2,1,1
129,96250,462,48,3000,1,0,1,2,39.903108,116.443505,1,1,1
130,114705,780,68,248,1,0,1,3,39.925362,116.422556,2,1,1
131,70394,535,76,3000,1,1,2,2,39.869602,116.414407,2,1,1
132,70833,425,60,609,1,1,1,1,39.86929,116.411728,2,1,1
133,95238,600,63,3000,1,1,2,3,39.897461,116.455287,2,1,1
134,100000,600,60,3000,1,1,1,2,39.896433,116.441959,1,1,1
135,75263,429,57,600,0,0,2,3,39.875883,116.413287,2,1,1
136,130232,560,43,860,1,1,1,3,39.95501,116.434611,1,1,1
137,99777,449,45,521,1,1,2,3,39.964303,116.417178,1,1,1
138,100000,560,56,311,1,0,1,1,39.90241,116.428665,1,1,1
139,85846,558,65,1102,1,0,2,3,39.905197,116.452938,1,1,1
140,100000,660,66,3000,1,1,1,3,39.901827,116.448281,1,1,1
141,105000,630,60,3000,0,1,2,3,39.876454,116.396984,2,1,1
142,91558,705,77,3000,0,1,1,2,39.937367,116.4464,3,1,1
143,106551,618,58,339,0,1,1,2,39.909839,116.438198,2,1,1
144,80357,900,112,3000,1,1,3,1,39.905197,116.452938,2,1,1
145,71333,428,60,600,1,1,1,1,39.869602,116.414407,1,1,1
146,108000,432,40,626,0,0,2,1,39.961282,116.427921,1,1,1
147,88979,436,49,3000,1,1,1,3,39.897461,116.455287,1,1,1
148,103731,695,67,3000,1,1,1,2,39.894271,116.448681,1,1,1
149,125925,340,27,3000,1,0,1,2,39.901724,116.420519,1,1,0
150,105454,580,55,989,1,1,1,1,39.957773,116.432835,1,1,1
151,81224,398,49,1110,1,1,1,2,39.879987,116.444779,1,1,0
